Arkansas,3/22/21,28900,28900
Louisiana,3/22/21,45000,45000
New Mexico,3/22/21,20500,20500
Oklahoma,3/22/21,37500,37500
Texas,3/22/21,260400,260400
Iowa,3/22/21,30400,30400
Kansas,3/22/21,27800,27800
Missouri,3/22/21,59500,59500
Nebraska,3/22/21,18400,18400
Colorado,3/22/21,54100,54100
Montana,3/22/21,10400,10400
North Dakota,3/22/21,7500,7500
South Dakota,3/22/21,8300,8300
Utah,3/22/21,27100,27100
Wyoming,3/22/21,5700,5700
Arizona,3/22/21,67600,67600
California,3/22/21,380300,380300
Hawaii,3/22/21,14200,14200
Nevada,3/22/21,28500,28500
American Samoa,3/22/21,0,0
Guam,3/22/21,0,0
Marshall Islands,3/22/21,0,0
Micronesia,3/22/21,0,0
Mariana Islands,3/22/21,0,0
Palau,3/22/21,0,0
Alaska,3/22/21,0,0
Idaho,3/22/21,15800,15800
Oregon,3/22/21,40800,40800
Washington,3/22/21,72400,72400
Federal Entities,3/22/21,143000,143000
Connecticut,3/15/21,35800,35800
Maine,3/15/21,13700,13700
Massachusetts,3/15/21,69000,69000
New Hampshire,3/15/21,13700,13700
Rhode Island,3/15/21,10800,10800
Vermont,3/15/21,6500,6500
New Jersey,3/15/21,87400,87400
New York,3/15/21,111300,111300
New York City,3/15/21,84500,84500
Puerto Rico,3/15/21,34200,34200
U.S. Virgin Islands,3/15/21,1100,1100
Delaware,3/15/21,9500,9500
District of Columbia,3/15/21,7200,7200
Maryland,3/15/21,59000,59000
Pennsylvania,3/15/21,112400,112400
Philadelphia,3/15/21,15600,15600
Virginia,3/15/21,82800,82800
West Virginia,3/15/21,18500,18500
Alabama,3/15/21,47700,47700
Florida,3/15/21,208000,208000
Georgia,3/15/21,98600,98600
Kentucky,3/15/21,43400,43400
Mississippi,3/15/21,28700,28700
North Carolina,3/15/21,99500,99500
South Carolina,3/15/21,48800,48800
Tennessee,3/15/21,65200,65200
Chicago,3/15/21,26500,26500
Illinois,3/15/21,98700,98700
Indiana,3/15/21,64100,64100
Michigan,3/15/21,98200,98200
Minnesota,3/15/21,53800,53800
Ohio,3/15/21,114100,114100
Wisconsin,3/15/21,57100,57100
Arkansas,3/15/21,28900,28900
Louisiana,3/15/21,45000,45000
New Mexico,3/15/21,20500,20500
Oklahoma,3/15/21,37500,37500
Texas,3/15/21,260400,260400
Iowa,3/15/21,30400,30400
Kansas,3/15/21,27800,27800
Missouri,3/15/21,59500,59500
Nebraska,3/15/21,18400,18400
Colorado,3/15/21,54100,54100
Montana,3/15/21,10400,10400
North Dakota,3/15/21,7500,7500
South Dakota,3/15/21,8300,8300
Utah,3/15/21,27100,27100
Wyoming,3/15/21,5700,5700
Arizona,3/15/21,67600,67600
California,3/15/21,380300,380300
Hawaii,3/15/21,14200,14200
Nevada,3/15/21,28500,28500
American Samoa,3/15/21,0,0
Guam,3/15/21,0,0
Marshall Islands,3/15/21,0,0
Micronesia,3/15/21,0,0
Mariana Islands,3/15/21,0,0
Palau,3/15/21,0,0
Alaska,3/15/21,0,0
Idaho,3/15/21,15800,15800
Oregon,3/15/21,40800,40800
Washington,3/15/21,72400,72400
Federal Entities,3/15/21,143000,143000
Connecticut,3/8/21,35800,35800
Maine,3/8/21,13700,13700
Massachusetts,3/8/21,69000,69000
New Hampshire,3/8/21,13700,13700
Rhode Island,3/8/21,10800,10800
Vermont,3/8/21,6500,6500
New Jersey,3/8/21,87400,87400
New York,3/8/21,111300,111300
New York City,3/8/21,84500,84500
Puerto Rico,3/8/21,34200,34200
U.S. Virgin Islands,3/8/21,1100,1100
Delaware,3/8/21,9500,9500
District of Columbia,3/8/21,7200,7200
Maryland,3/8/21,59000,59000
Pennsylvania,3/8/21,112400,112400
Philadelphia,3/8/21,15600,15600
Virginia,3/8/21,82800,82800
West Virginia,3/8/21,18500,18500
Alabama,3/8/21,47700,47700
Florida,3/8/21,208000,208000
Georgia,3/8/21,98600,98600
Kentucky,3/8/21,43400,43400
Mississippi,3/8/21,28700,28700
North Carolina,3/8/21,99500,99500
South Carolina,3/8/21,48800,48800
Tennessee,3/8/21,65200,65200
Chicago,3/8/21,26500,26500
Illinois,3/8/21,98700,98700
Indiana,3/8/21,64100,64100
Michigan,3/8/21,98200,98200
Minnesota,3/8/21,53800,53800
Ohio,3/8/21,114100,114100
Wisconsin,3/8/21,57100,57100
Arkansas,3/8/21,28900,28900
Louisiana,3/8/21,45000,45000
New Mexico,3/8/21,20500,20500
Oklahoma,3/8/21,37500,37500
Texas,3/8/21,260400,260400
Iowa,3/8/21,30400,30400
Kansas,3/8/21,27800,27800
Missouri,3/8/21,59500,59500
Nebraska,3/8/21,18400,18400
Colorado,3/8/21,54100,54100
Montana,3/8/21,10400,10400
North Dakota,3/8/21,7500,7500
South Dakota,3/8/21,8300,8300
Utah,3/8/21,27100,27100
Wyoming,3/8/21,5700,5700
Arizona,3/8/21,67600,67600
California,3/8/21,380300,380300
Hawaii,3/8/21,14200,14200
Nevada,3/8/21,28500,28500
American Samoa,3/8/21,0,0
Guam,3/8/21,0,0
Marshall Islands,3/8/21,0,0
Micronesia,3/8/21,0,0
Mariana Islands,3/8/21,0,0
Palau,3/8/21,0,0
Alaska,3/8/21,0,0
Idaho,3/8/21,15800,15800
Oregon,3/8/21,40800,40800
Washington,3/8/21,72400,72400
Federal Entities,3/8/21,197900,193500
Alabama,3/1/21,47700,47700
Alaska,3/1/21,49300,49300
American Samoa,3/1/21,4400,0
Arizona,3/1/21,67600,67600
Arkansas,3/1/21,28900,28900
California,3/1/21,380300,380300
Chicago,3/1/21,26500,26500
Colorado,3/1/21,54100,54100
Connecticut,3/1/21,35800,35800
Delaware,3/1/21,9500,9500
District of Columbia,3/1/21,7200,7200
Federal Entities,3/1/21,180500,163500
Florida,3/1/21,208000,208000
Georgia,3/1/21,98600,98600
Guam,3/1/21,14200,0
Hawaii,3/1/21,14200,14200
Idaho,3/1/21,15800,15800
Illinois,3/1/21,98700,98700
Indiana,3/1/21,64100,64100
Iowa,3/1/21,30400,30400
Kansas,3/1/21,27800,27800
Kentucky,3/1/21,43400,43400
Louisiana,3/1/21,45000,45000
Maine,3/1/21,13700,13700
Mariana Islands,3/1/21,4600,0
Marshall Islands,3/1/21,14000,0
Maryland,3/1/21,59000,59000
Massachusetts,3/1/21,69000,69000
Michigan,3/1/21,98200,98200
Micronesia,3/1/21,16600,0
Minnesota,3/1/21,53800,53800
Mississippi,3/1/21,28700,28700
Missouri,3/1/21,59500,59500
Montana,3/1/21,10400,10400
Nebraska,3/1/21,18400,18400
Nevada,3/1/21,28500,28500
New Hampshire,3/1/21,13700,13700
New Jersey,3/1/21,87400,87400
New Mexico,3/1/21,20500,20500
New York,3/1/21,111300,111300
New York City,3/1/21,84500,84500
North Carolina,3/1/21,99500,99500
North Dakota,3/1/21,7500,7500
Ohio,3/1/21,114100,114100
Oklahoma,3/1/21,37500,37500
Oregon,3/1/21,40800,40800
Palau,3/1/21,5400,0
Pennsylvania,3/1/21,112400,112400
Philadelphia,3/1/21,15600,15600
Puerto Rico,3/1/21,34200,34200
Rhode Island,3/1/21,10800,10800
South Carolina,3/1/21,48800,48800
South Dakota,3/1/21,8300,8300
Tennessee,3/1/21,65200,65200
Texas,3/1/21,260400,260400
U.S. Virgin Islands,3/1/21,1100,1100
Utah,3/1/21,27100,27100
Vermont,3/1/21,6500,6500
Virginia,3/1/21,82800,82800
Washington,3/1/21,72400,72400
West Virginia,3/1/21,18500,18500
Wisconsin,3/1/21,57100,57100
Wyoming,3/1/21,5700,5700
Alabama,2/22/21,47700,47700
Alaska,2/22/21,0,0
American Samoa,2/22/21,0,0
Arizona,2/22/21,67600,67600
Arkansas,2/22/21,28900,28900
California,2/22/21,380300,380300
Chicago,2/22/21,26500,26500
Colorado,2/22/21,54100,54100
Connecticut,2/22/21,35800,35800
Delaware,2/22/21,9500,9500
District of Columbia,2/22/21,7200,7200
Federal Entities,2/22/21,163500,163500
Florida,2/22/21,208000,208000
Georgia,2/22/21,98600,98600
Guam,2/22/21,0,0
Hawaii,2/22/21,14200,14200
Idaho,2/22/21,15800,15800
Illinois,2/22/21,98700,98700
Indiana,2/22/21,64100,64100
Iowa,2/22/21,30400,30400
Kansas,2/22/21,27800,27800
Kentucky,2/22/21,43400,43400
Louisiana,2/22/21,45000,45000
Maine,2/22/21,13700,13700
Mariana Islands,2/22/21,0,0
Marshall Islands,2/22/21,0,0
Maryland,2/22/21,59000,59000
Massachusetts,2/22/21,69000,69000
Michigan,2/22/21,98200,98200
Micronesia,2/22/21,0,0
Minnesota,2/22/21,53800,53800
Mississippi,2/22/21,28700,28700
Missouri,2/22/21,59500,59500
Montana,2/22/21,10400,10400
Nebraska,2/22/21,18400,18400
Nevada,2/22/21,28500,28500
New Hampshire,2/22/21,13700,13700
New Jersey,2/22/21,87400,87400
New Mexico,2/22/21,20500,20500
New York,2/22/21,111300,111300
New York City,2/22/21,84500,84500
North Carolina,2/22/21,99500,99500
North Dakota,2/22/21,7500,7500
Ohio,2/22/21,114100,114100
Oklahoma,2/22/21,37500,37500
Oregon,2/22/21,40800,40800
Palau,2/22/21,0,0
Pennsylvania,2/22/21,112400,112400
Philadelphia,2/22/21,15600,15600
Puerto Rico,2/22/21,34200,34200
Rhode Island,2/22/21,10800,10800
South Carolina,2/22/21,48800,48800
South Dakota,2/22/21,8300,8300
Tennessee,2/22/21,65200,65200
Texas,2/22/21,260400,260400
U.S. Virgin Islands,2/22/21,1100,1100
Utah,2/22/21,27100,27100
Vermont,2/22/21,6500,6500
Virginia,2/22/21,82800,82800
Washington,2/22/21,72400,72400
West Virginia,2/22/21,18500,18500
Wisconsin,2/22/21,57100,57100
Wyoming,2/22/21,5700,5700
Alabama,2/15/21,47700,47700
Alaska,2/15/21,0,0
American Samoa,2/15/21,0,0
Arizona,2/15/21,67600,67600
Arkansas,2/15/21,28900,28900
California,2/15/21,380300,380300
Chicago,2/15/21,26500,26500
Colorado,2/15/21,54100,54100
Connecticut,2/15/21,35800,35800
Delaware,2/15/21,9500,9500
District of Columbia,2/15/21,7200,7200
Federal Entities,2/15/21,163500,163500
Florida,2/15/21,208000,208000
Georgia,2/15/21,98600,98600
Guam,2/15/21,0,0
Hawaii,2/15/21,14200,14200
Idaho,2/15/21,15800,15800
Illinois,2/15/21,98700,98700
Indiana,2/15/21,64100,64100
Iowa,2/15/21,30400,30400
Kansas,2/15/21,27800,27800
Kentucky,2/15/21,43400,43400
Louisiana,2/15/21,45000,45000
Maine,2/15/21,13700,13700
Mariana Islands,2/15/21,0,0
Marshall Islands,2/15/21,0,0
Maryland,2/15/21,59000,59000
Massachusetts,2/15/21,69000,69000
Michigan,2/15/21,98200,98200
Micronesia,2/15/21,0,0
Minnesota,2/15/21,53800,53800
Mississippi,2/15/21,28700,28700
Missouri,2/15/21,59500,59500
Montana,2/15/21,10400,10400
Nebraska,2/15/21,18400,18400
Nevada,2/15/21,28500,28500
New Hampshire,2/15/21,13700,13700
New Jersey,2/15/21,87400,87400
New Mexico,2/15/21,20500,20500
New York,2/15/21,111300,111300
New York City,2/15/21,84500,84500
North Carolina,2/15/21,99500,99500
North Dakota,2/15/21,7500,7500
Ohio,2/15/21,114100,114100
Oklahoma,2/15/21,37500,37500
Oregon,2/15/21,40800,40800
Palau,2/15/21,0,0
Pennsylvania,2/15/21,112400,112400
Philadelphia,2/15/21,15600,15600
Puerto Rico,2/15/21,34200,34200
Rhode Island,2/15/21,10800,10800
South Carolina,2/15/21,48800,48800
South Dakota,2/15/21,8300,8300
Tennessee,2/15/21,65200,65200
Texas,2/15/21,260400,260400
U.S. Virgin Islands,2/15/21,1100,1100
Utah,2/15/21,27100,27100
Vermont,2/15/21,6500,6500
Virginia,2/15/21,82800,82800
Washington,2/15/21,72400,72400
West Virginia,2/15/21,18500,18500
Wisconsin,2/15/21,57100,57100
Wyoming,2/15/21,5700,5700
Alabama,2/8/21,44100,44100
Alaska,2/8/21,0,0
American Samoa,2/8/21,0,0
Arizona,2/8/21,62500,62500
Arkansas,2/8/21,26800,26800
California,2/8/21,351900,351900
Chicago,2/8/21,24500,24500
Colorado,2/8/21,50000,50000
Connecticut,2/8/21,33100,33100
Delaware,2/8/21,8800,8800
District of Columbia,2/8/21,6600,6600
Federal Entities,2/8/21,481400,481400
Florida,2/8/21,192500,192500
Georgia,2/8/21,91300,91300
Guam,2/8/21,0,0
Hawaii,2/8/21,13100,13100
Idaho,2/8/21,14700,14700
Illinois,2/8/21,91300,91300
Indiana,2/8/21,59300,59300
Iowa,2/8/21,28200,28200
Kansas,2/8/21,25700,25700
Kentucky,2/8/21,40200,40200
Louisiana,2/8/21,41600,41600
Maine,2/8/21,12700,12700
Mariana Islands,2/8/21,0,0
Marshall Islands,2/8/21,0,0
Maryland,2/8/21,54600,54600
Massachusetts,2/8/21,63800,63800
Michigan,2/8/21,90900,90900
Micronesia,2/8/21,0,0
Minnesota,2/8/21,49700,49700
Mississippi,2/8/21,26600,26600
Missouri,2/8/21,55100,55100
Montana,2/8/21,9600,9600
Nebraska,2/8/21,17000,17000
Nevada,2/8/21,26400,26400
New Hampshire,2/8/21,12700,12700
New Jersey,2/8/21,80900,80900
New Mexico,2/8/21,19000,19000
New York,2/8/21,103000,103000
New York City,2/8/21,78200,78200
North Carolina,2/8/21,92000,92000
North Dakota,2/8/21,6900,6900
Ohio,2/8/21,105600,105600
Oklahoma,2/8/21,34700,34700
Oregon,2/8/21,37800,37800
Palau,2/8/21,0,0
Pennsylvania,2/8/21,104000,104000
Philadelphia,2/8/21,14400,14400
Puerto Rico,2/8/21,31600,31600
Rhode Island,2/8/21,10000,10000
South Carolina,2/8/21,45200,45200
South Dakota,2/8/21,7700,7700
Tennessee,2/8/21,60300,60300
Texas,2/8/21,241000,241000
U.S. Virgin Islands,2/8/21,1000,1000
Utah,2/8/21,25100,25100
Vermont,2/8/21,6000,6000
Virginia,2/8/21,76600,76600
Washington,2/8/21,67000,67000
West Virginia,2/8/21,17100,17100
Wisconsin,2/8/21,52900,52900
Wyoming,2/8/21,5300,5300
Alabama,2/1/21,40400,40400
Alaska,2/1/21,32300,32300
American Samoa,2/1/21,3200,0
Arizona,2/1/21,57200,57200
Arkansas,2/1/21,24500,24500
